,file,embedding,id,status,status_id,tsne-3d-one,tsne-3d-two,tsne-3d-three
0,../data/valve/test/normal_id_06_00000093.wav,0,06,normal,normal_06,65.66055,41.95782,-93.26125
1,../data/valve/test/normal_id_06_00000087.wav,0,06,normal,normal_06,-104.50601,-60.08389,18.424349
2,../data/valve/test/normal_id_02_00000058.wav,0,02,normal,normal_02,17.01285,44.1149,74.95259
3,../data/valve/test/normal_id_02_00000070.wav,0,02,normal,normal_02,-132.68802,-26.793503,-39.613308
4,../data/valve/test/normal_id_02_00000064.wav,0,02,normal,normal_02,-111.77688,-20.449972,101.80156
5,../data/valve/test/normal_id_06_00000050.wav,0,06,normal,normal_06,5.7472334,124.29239,28.188675
6,../data/valve/test/normal_id_06_00000044.wav,0,06,normal,normal_06,5.610159,-2.5774443,-45.091896
7,../data/valve/test/normal_id_06_00000078.wav,0,06,normal,normal_06,6.9454975,-10.926035,37.27971
8,../data/valve/test/anomaly_id_00_00000011.wav,0,00,anomaly,anomaly_00,-27.086983,-47.512302,-31.907146
9,../data/valve/test/anomaly_id_00_00000005.wav,0,00,anomaly,anomaly_00,29.345758,-20.95598,-16.924006
10,../data/valve/test/anomaly_id_00_00000039.wav,0,00,anomaly,anomaly_00,104.0195,33.860706,-55.3485
11,../data/valve/test/anomaly_id_04_00000019.wav,0,04,anomaly,anomaly_04,-48.068916,134.62573,-2.328833
12,../data/valve/test/anomaly_id_04_00000031.wav,0,04,anomaly,anomaly_04,-38.837383,-88.23858,56.83421
13,../data/valve/test/anomaly_id_04_00000025.wav,0,04,anomaly,anomaly_04,60.29999,139.56734,-1.1623998
14,../data/valve/test/anomaly_id_06_00000002.wav,0,06,anomaly,anomaly_06,-49.719677,12.958307,-97.62827
15,../data/valve/test/anomaly_id_06_00000016.wav,0,06,anomaly,anomaly_06,79.58428,63.47665,19.887037
16,../data/valve/test/anomaly_id_02_00000022.wav,0,02,anomaly,anomaly_02,-1.3003374,42.180115,90.1957
17,../data/valve/test/anomaly_id_02_00000036.wav,0,02,anomaly,anomaly_02,-48.90131,130.29076,59.644424
18,../data/valve/test/normal_id_00_00000080.wav,0,00,normal,normal_00,-120.05334,75.17357,-44.082005
19,../data/valve/test/normal_id_00_00000094.wav,0,00,normal,normal_00,27.46903,74.48537,-130.71602
20,../data/valve/test/normal_id_04_00000063.wav,0,04,normal,normal_04,-75.75391,25.227749,-109.78546
21,../data/valve/test/normal_id_04_00000077.wav,0,04,normal,normal_04,-1.9187771,5.234747,103.85448
22,../data/valve/test/normal_id_00_00000043.wav,0,00,normal,normal_00,-103.009964,-55.733616,-10.710763
