,file,embedding,id,status,tsne-2d-one,tsne-2d-two,tsne-3d-one,tsne-3d-two,tsne-3d-three,status_id
0,../data/fan/test/normal_id_06_00000093.wav,0,06,normal,-7.5581727,22.361845,-12.5539465,11.727437,1.073263,normal_06
1,../data/fan/test/anomaly_id_00_00000213.wav,0,00,anomaly,-40.631256,-9.340011,-8.609655,-39.41925,-4.647908,anomaly_00
2,../data/fan/test/anomaly_id_00_00000207.wav,0,00,anomaly,14.649899,29.852987,-20.016554,-24.756006,22.091244,anomaly_00
3,../data/fan/test/normal_id_06_00000087.wav,0,06,normal,14.725486,-13.365427,26.98672,-5.562676,-4.972935,normal_06
4,../data/fan/test/normal_id_02_00000058.wav,0,02,normal,22.241592,-5.0151176,39.43856,-5.6143637,10.548312,normal_02
5,../data/fan/test/anomaly_id_06_00000360.wav,0,06,anomaly,8.936159,-26.273901,27.129372,15.319738,-7.0123754,anomaly_06
6,../data/fan/test/normal_id_02_00000070.wav,0,02,normal,20.151947,0.39606154,21.35638,-7.849453,12.302079,normal_02
7,../data/fan/test/anomaly_id_06_00000348.wav,0,06,anomaly,-23.737238,17.959564,-31.865652,11.70173,-9.611764,anomaly_06
8,../data/fan/test/normal_id_02_00000064.wav,0,02,normal,4.0590625,-24.102505,18.366894,11.644861,-16.09954,normal_02
9,../data/fan/test/normal_id_06_00000050.wav,0,06,normal,-12.574854,-26.659832,-10.282182,21.460215,-7.209738,normal_06
10,../data/fan/test/normal_id_06_00000044.wav,0,06,normal,-13.882907,23.951872,-17.532724,23.120275,3.2657113,normal_06
11,../data/fan/test/anomaly_id_04_00000233.wav,0,04,anomaly,2.209112,27.832561,-23.286161,1.0356284,4.8034716,anomaly_04
12,../data/fan/test/anomaly_id_02_00000354.wav,0,02,anomaly,25.72109,-3.4458158,37.76591,-10.026729,17.766495,anomaly_02
13,../data/fan/test/normal_id_06_00000078.wav,0,06,normal,14.038085,-14.255449,24.599098,-4.8506923,-8.824333,normal_06
14,../data/fan/test/anomaly_id_02_00000340.wav,0,02,anomaly,-7.2269564,-25.49438,1.0876553,28.960545,-17.404459,anomaly_02
15,../data/fan/test/anomaly_id_04_00000227.wav,0,04,anomaly,-12.073345,26.009312,-15.658833,26.15841,10.002877,anomaly_04
16,../data/fan/test/anomaly_id_00_00000011.wav,0,00,anomaly,-18.06649,16.741444,-26.985744,8.919322,-0.56569934,anomaly_00
17,../data/fan/test/anomaly_id_06_00000176.wav,0,06,anomaly,-20.856571,22.19564,-32.860073,24.104263,-5.9674797,anomaly_06
18,../data/fan/test/anomaly_id_06_00000162.wav,0,06,anomaly,-12.644797,25.971909,-21.058556,26.016663,15.537098,anomaly_06
19,../data/fan/test/anomaly_id_00_00000005.wav,0,00,anomaly,22.60296,8.715876,6.990748,-20.686794,10.134498,anomaly_00
20,../data/fan/test/anomaly_id_02_00000195.wav,0,02,anomaly,-6.6432233,-22.48269,-5.0399246,23.842068,-20.835598,anomaly_02
21,../data/fan/test/anomaly_id_00_00000039.wav,0,00,anomaly,9.968067,-12.527697,13.6722975,-8.261913,-0.33962005,anomaly_00
22,../data/fan/test/anomaly_id_02_00000181.wav,0,02,anomaly,12.267765,-15.577601,22.405794,-0.8663264,-3.7043848,anomaly_02
23,../data/fan/test/anomaly_id_04_00000019.wav,0,04,anomaly,9.439815,-22.50875,5.500213,0.039463915,9.693834,anomaly_04
24,../data/fan/test/anomaly_id_02_00000156.wav,0,02,anomaly,18.339205,21.845633,-2.7889788,-7.767916,28.52207,anomaly_02
25,../data/fan/test/anomaly_id_04_00000031.wav,0,04,anomaly,14.8883505,24.01314,-9.187987,-18.44482,29.806051,anomaly_04
26,../data/fan/test/anomaly_id_06_00000189.wav,0,06,anomaly,-4.6837354,-32.89394,20.964235,26.780643,-21.846476,anomaly_06
27,../data/fan/test/anomaly_id_04_00000025.wav,0,04,anomaly,-16.308723,23.632666,-26.881317,27.706095,5.036234,anomaly_04
28,../data/fan/test/anomaly_id_02_00000142.wav,0,02,anomaly,-4.5901775,30.062563,-17.121874,11.609801,12.739938,anomaly_02
29,../data/fan/test/anomaly_id_00_00000165.wav,0,00,anomaly,-5.9896245,-27.462696,13.187381,24.624702,-19.302118,anomaly_00
30,../data/fan/test/anomaly_id_06_00000002.wav,0,06,anomaly,-29.937109,12.668097,-17.88873,5.0466013,-18.086601,anomaly_06
31,../data/fan/test/anomaly_id_06_00000016.wav,0,06,anomaly,28.43479,3.790357,26.75436,-28.110144,17.880285,anomaly_06
32,../data/fan/test/anomaly_id_00_00000171.wav,0,00,anomaly,-2.8068328,-19.957628,7.545611,22.200228,-2.9972873,anomaly_00
33,../data/fan/test/anomaly_id_00_00000159.wav,0,00,anomaly,-0.8451368,26.25071,-4.9586015,0.09702635,7.6904316,anomaly_00
34,../data/fan/test/anomaly_id_04_00000186.wav,0,04,anomaly,5.6286335,-20.156948,14.898836,10.419854,-0.467664,anomaly_04
35,../data/fan/test/anomaly_id_04_00000192.wav,0,04,anomaly,23.54776,-6.1070232,41.28241,-3.9128423,15.630363,anomaly_04
36,../data/fan/test/anomaly_id_04_00000179.wav,0,04,anomaly,-4.289875,-30.128962,-5.551796,28.06746,-4.390704,anomaly_04
37,../data/fan/test/anomaly_id_02_00000022.wav,0,02,anomaly,2.2926369,-31.583765,-3.581449,11.997663,0.1845552,anomaly_02
38,../data/fan/test/anomaly_id_04_00000145.wav,0,04,anomaly,21.173159,17.961922,9.55894,-9.524041,32.360836,anomaly_04
39,../data/fan/test/anomaly_id_04_00000151.wav,0,04,anomaly,24.367708,-2.187977,35.60862,-16.213724,18.205364,anomaly_04
