,file,embedding,id,status,status_id,tsne-3d-one,tsne-3d-two,tsne-3d-three
0,../data/ToyConveyor/test/anomaly_id_01_00000176.wav,0,01,anomaly,anomaly_01,-10.066177,-24.341915,54.56482
1,../data/ToyConveyor/test/normal_id_03_00000329.wav,0,03,normal,normal_03,14.918456,23.24316,-77.95097
2,../data/ToyConveyor/test/normal_id_01_00000291.wav,0,01,normal,normal_01,-23.54307,82.33672,-4.733611
3,../data/ToyConveyor/test/normal_id_01_00000285.wav,0,01,normal,normal_01,55.045532,-13.727147,6.2093525
4,../data/ToyConveyor/test/anomaly_id_01_00000162.wav,0,01,anomaly,anomaly_01,25.77605,29.655935,21.642387
5,../data/ToyConveyor/test/normal_id_02_00000058.wav,0,02,normal,normal_02,72.38254,10.169714,34.260414
6,../data/ToyConveyor/test/normal_id_03_00000473.wav,0,03,normal,normal_03,-28.703787,-48.78912,67.039215
7,../data/ToyConveyor/test/normal_id_02_00000070.wav,0,02,normal,normal_02,0.8968119,-76.55184,-19.05421
8,../data/ToyConveyor/test/normal_id_02_00000716.wav,0,02,normal,normal_02,-30.571878,92.37793,14.128544
9,../data/ToyConveyor/test/normal_id_03_00000315.wav,0,03,normal,normal_03,47.965412,-0.09781286,-20.816319
10,../data/ToyConveyor/test/normal_id_03_00000301.wav,0,03,normal,normal_03,51.81736,39.23076,-66.573105
11,../data/ToyConveyor/test/normal_id_02_00000702.wav,0,02,normal,normal_02,-4.109395,-48.28851,-77.77234
12,../data/ToyConveyor/test/normal_id_02_00000064.wav,0,02,normal,normal_02,-83.75986,28.055983,-3.1347487
13,../data/ToyConveyor/test/normal_id_03_00000467.wav,0,03,normal,normal_03,26.202194,69.72032,41.526196
14,../data/ToyConveyor/test/normal_id_01_00000534.wav,0,01,normal,normal_01,10.083025,34.46389,-85.13066
15,../data/ToyConveyor/test/normal_id_01_00000252.wav,0,01,normal,normal_01,42.447227,-37.13879,-19.538918
16,../data/ToyConveyor/test/normal_id_01_00000246.wav,0,01,normal,normal_01,-27.787724,58.37227,88.764984
